frame_id,track_id,class_id,class_name,cx,cy,x1,y1,x2,y2,confidence,crossed
98,115,9,motor,669,787,638,764,701,811,0.5696,False
98,120,9,motor,737,781,710,755,764,807,0.4166,False
98,121,0,pedestrian,596,777,582,745,611,809,0.6182,False
98,122,2,bicycle,57,796,40,768,74,825,0.3856,False
98,2,3,car,288,782,170,732,406,832,0.6197,False
99,4,3,car,1842,766,1764,721,1920,811,0.5491,False
99,21,3,car,1279,776,1084,715,1474,837,0.7722,False
99,1,3,car,420,784,286,735,555,834,0.6705,False
99,115,9,motor,672,789,643,768,701,811,0.4303,False
99,120,9,motor,739,781,712,755,766,807,0.3514,False
99,121,0,pedestrian,598,777,584,745,613,809,0.4998,False
99,2,3,car,277,783,158,733,396,833,0.5865,False
100,21,3,car,1300,775,1105,714,1496,836,0.7916,False
100,1,3,car,399,785,262,734,537,836,0.6413,False
100,115,9,motor,675,790,648,770,703,811,0.4825,False
100,120,9,motor,742,782,714,755,770,809,0.4217,False
100,121,0,pedestrian,601,777,587,745,616,809,0.6213,False
100,2,3,car,272,786,150,735,394,837,0.4693,False
101,21,3,car,1320,775,1126,715,1514,836,0.7816,False
101,1,3,car,381,785,242,734,521,837,0.4449,False
101,115,9,motor,678,790,650,770,706,811,0.3937,False
101,120,9,motor,745,782,718,757,772,807,0.4285,False
101,121,0,pedestrian,604,777,591,747,618,808,0.6880,False
101,2,3,car,254,786,130,735,379,838,0.4642,False
101,4,3,car,1855,766,1790,722,1920,811,0.5685,False
102,21,3,car,1342,774,1150,714,1534,835,0.7880,False
102,1,3,car,391,782,266,735,517,829,0.4450,False
102,115,1,people,681,784,649,760,713,808,0.3366,False
102,121,0,pedestrian,606,777,593,746,620,808,0.6123,False
102,2,3,car,240,787,116,735,364,839,0.5645,False
103,21,3,car,1368,774,1178,714,1558,834,0.7979,False
103,115,9,motor,686,786,655,763,718,810,0.3622,False
103,121,0,pedestrian,611,777,597,746,625,809,0.5797,False
103,2,3,car,230,787,106,735,355,839,0.4455,False
103,120,9,motor,752,783,727,759,778,808,0.3238,True
104,21,3,car,1384,774,1194,714,1575,835,0.7681,False
104,121,0,pedestrian,614,778,600,747,629,810,0.5780,False
104,2,3,car,218,786,94,735,342,838,0.2971,False
104,1,3,car,316,786,184,736,449,836,0.3888,False
105,21,3,car,1404,774,1214,714,1594,834,0.7792,False
105,121,0,pedestrian,617,777,603,745,632,810,0.5859,False
105,2,3,car,202,787,80,736,325,839,0.3697,False
105,141,0,pedestrian,587,779,574,751,600,808,0.3589,False
105,1,3,car,282,787,150,737,415,838,0.6192,False
106,21,3,car,1431,775,1239,714,1623,836,0.7472,False
106,121,0,pedestrian,621,777,607,745,635,810,0.5580,False
106,2,3,car,187,787,67,737,307,837,0.3565,False
106,1,3,car,250,792,106,738,394,846,0.6014,False
107,21,3,car,1451,776,1264,716,1639,836,0.6868,False
107,121,0,pedestrian,623,778,609,746,637,810,0.5732,False
107,1,3,car,245,791,107,739,384,843,0.6976,False
107,120,9,motor,765,783,740,759,791,807,0.2749,False
108,21,3,car,1468,776,1281,716,1656,836,0.7304,False
108,121,0,pedestrian,626,778,612,746,640,810,0.5342,False
